NAME,DETAILS
platform,Linux
platform-release,5.15.76-1-MANJARO
platform-version,#1 SMP PREEMPT Sat Oct 29 14:22:16 UTC 2022
architecture,x86_64
hostname,samael-feather
ip-address,127.0.1.1
mac-address,48:a4:72:af:95:01
processor,
ram,8
