PROCESSID,PROCESSNAME,STATUS,STARTTIME
46988,kworker/u16:30-events_unbound,idle,1668342705.26
46989,kworker/u16:31-events_unbound,idle,1668342705.26
46990,irq/126-mei_me,sleeping,1668342705.5
46991,kworker/u16:32-ext4-rsv-conversion,idle,1668342705.5
46992,nvidia,sleeping,1668342705.5
46993,kworker/u16:33-events_unbound,idle,1668342705.5
46994,kworker/u16:34-events_unbound,idle,1668342705.5
46995,kworker/u16:35-events_unbound,idle,1668342705.5
46996,kworker/u16:36-i915,idle,1668342705.5
46997,kworker/u16:37-events_unbound,idle,1668342705.5
46998,kworker/u16:38-events_unbound,idle,1668342705.5
46999,kworker/u16:39-events_unbound,idle,1668342705.5
47000,kworker/u16:40-events_unbound,idle,1668342705.5
47001,kworker/u16:41-events_unbound,idle,1668342705.5
47002,kworker/u16:42-kec,idle,1668342705.5
47003,kworker/u16:43-events_freezable_power_,idle,1668342705.5
47004,kworker/u16:44,idle,1668342705.5
47009,kworker/0:3-events,idle,1668342706.22
47010,kworker/0:4-events,idle,1668342706.22
47274,python3,running,1668342854.48
